"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15"
"Fresador.IdleCost","OUTPUT VALUE","Idle Cost","Resource","Fresador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fresador.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Fresador",74,81,80,76,79,82,74,73,82,82,83,80,83,79,81
"Fresador.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Fresador",0.950410863731387,1,0.997718041843874,0.978868155868854,0.997685971319709,0.993449160590346,0.951203306321446,0.887125570719251,0.996930961317306,1,1,0.97837400480004,0.999019837742814,0.997510776769312,0.991489359593679
"Fresador.UsageCost","OUTPUT VALUE","Usage Cost","Resource","Fresador",148,162,160,152,158,164,148,146,164,164,166,160,166,158,162
"pieza.NumberIn","OUTPUT VALUE","Number In","Entity","pieza",85,84,94,105,105,98,98,95,92,107,89,107,96,100,87
"pieza.NumberOut","OUTPUT VALUE","Number Out","Entity","pieza",37,37,39,38,40,34,33,33,39,37,42,38,37,37,37
"Pulidor.BusyCost","OUTPUT VALUE","Busy Cost","Resource","Pulidor",18.8347176646052,18.0325782903381,18.3562075233594,18.2297305931384,19.3422073828505,18.6292882214705,17.5889299927327,17.6031795384909,18.4974978576662,19.2554010091063,18.6199855405955,18.3117198164495,20.0528220089271,18.4697828428617,19.5623135031041
"Pulidor.IdleCost","OUTPUT VALUE","Idle Cost","Resource","Pulidor",6.77338218213947,7.61581929407437,7.38828316060877,7.45375010262303,6.2103901561993,6.88765486434316,8.548093343023,8.18793228113573,7.19829403507983,6.27769459780369,7.13682942264228,7.43042209974784,4.95357432271896,7.06629293156441,5.70835266986016
"Pulidor.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Pulidor",73,75,77,74,77,79,71,70,76,78,77,75,80,76,78
"Pulidor.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Pulidor",0.788331806808142,0.762005647060176,0.769116151230976,0.76707030929303,0.805925307618772,0.784760785489277,0.732872083030531,0.744127116214508,0.775053311403755,0.803822043818635,0.776974080542429,0.76779930938288,0.845200802415032,0.779178345888612,0.82161397906687
"Pulidor.UsageCost","OUTPUT VALUE","Usage Cost","Resource","Pulidor",73,75,77,74,77,79,71,70,76,78,77,75,80,76,78
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",37,37,39,38,40,34,33,33,39,37,42,38,37,37,37
"System.TotalCost","OUTPUT VALUE","Total Cost","System","System",1381.93720261212,1443.75314123326,1356.18306432695,1337.31177447954,1468.38679738341,1421.10259839217,1387.12863364277,1181.92134935638,1385.36449944176,1494.46363690652,1473.72256032805,1412.33823493615,1572.08647795743,1467.44355789133,1442.99740332315
"Taladrador.BusyCost","OUTPUT VALUE","Busy Cost","Resource","Taladrador",9.11751707114629,9.96965240076011,9.99520216301903,9.11386711528195,8.93736873489249,9.90275064643021,9.29508389174359,9.06063899647345,9.66830825850511,10.1920005653711,10.0570261952983,9.72251388781021,9.96819645469367,9.5820099701415,9.78354463929478
"Taladrador.IdleCost","OUTPUT VALUE","Idle Cost","Resource","Taladrador",2.9595759896624,0.953687830704176,0.723968438896421,2.78804213483962,3.205964409548,0.892982591814025,2.32392804740141,2.834961834404,1.58473778742588,0.44367065275645,0.764085618427196,1.44796588092917,0.764472470904013,1.65717184120847,1.26616729943429
"Taladrador.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Taladrador",73,77,78,75,78,80,72,71,77,79,78,76,81,77,79
"Taladrador.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Taladrador",0.876684333764067,0.960263007053993,0.969834648379316,0.883831577715016,0.866418149602167,0.962792392007749,0.903169664691608,0.881876590233167,0.933969258857255,0.981513722801815,0.9681630992322,0.939668088294618,0.968146980378999,0.93095117328298,0.947243029190238
